time,chlor_a
2014-09-26,
2014-09-27,0.13531154
2014-09-28,0.17598969
2014-09-29,0.20650445
2014-09-30,
2014-10-01,0.20926848
2014-10-02,
2014-10-03,0.22496024
2014-10-04,0.16855475
2014-10-05,
2014-10-06,
2014-10-07,
2014-10-08,0.1533632
2014-10-09,0.15033256
2014-10-10,
2014-10-11,
2014-10-12,
2014-10-13,0.18008684
2014-10-14,0.18350244
2014-10-15,0.17973332
2014-10-16,
2014-10-17,0.2457024
2014-10-18,
2014-10-19,0.14781412
2014-10-20,0.15318167
2014-10-21,
2014-10-22,0.19378287
2014-10-23,
2014-10-24,0.21188517
2014-10-25,0.21889402
2014-10-26,
2014-10-27,
2014-10-28,
2014-10-29,0.1915967
2014-10-30,0.16694932
2014-10-31,0.13565531
2014-11-01,
2014-11-02,
2014-11-03,
2014-11-04,0.1531196
2014-11-05,0.15262851
2014-11-06,
2014-11-07,0.15997575
2014-11-08,
2014-11-09,0.16660538
2014-11-10,0.1373006
2014-11-11,
2014-11-12,
2014-11-13,
2014-11-14,0.16957973
2014-11-15,0.17063504
2014-11-16,0.19043826
2014-11-17,
2014-11-18,0.22118835
2014-11-19,
2014-11-20,0.16578588
2014-11-21,0.18740948
2014-11-22,
2014-11-23,
2014-11-24,
2014-11-25,0.2830156
2014-11-26,0.27412167
2014-11-27,
2014-11-28,
2014-11-29,
2014-11-30,0.2720399
2014-12-01,0.2761326
2014-12-02,0.2931799
2014-12-03,
2014-12-04,0.24370524
2014-12-05,
2014-12-06,0.21694888
2014-12-07,0.21480101
2014-12-08,
2014-12-09,0.22680396
2014-12-10,
2014-12-11,0.19508159
2014-12-12,0.1864656
2014-12-13,0.17774846
2014-12-14,0.1459308
2014-12-15,
2014-12-16,
2014-12-17,0.16450687
2014-12-18,
2014-12-19,
2014-12-20,0.1953781
2014-12-21,
2014-12-22,0.17937735
2014-12-23,0.173892
2014-12-24,
2014-12-25,
2014-12-26,
2014-12-27,0.18438613
2014-12-28,0.18042183
2014-12-29,
2014-12-30,0.12124372
2014-12-31,
2015-01-01,
2015-01-02,0.20169474
2015-01-03,0.19931087
2015-01-04,
2015-01-05,0.2145804
2015-01-06,
2015-01-07,0.20537917
2015-01-08,0.18976744
2015-01-09,
2015-01-10,0.19482414
2015-01-11,
2015-01-12,0.19395977
2015-01-13,0.18083033
2015-01-14,
2015-01-15,0.17227313
2015-01-16,
2015-01-17,0.15967612
2015-01-18,0.1669039
2015-01-19,0.16170622
2015-01-20,
2015-01-21,
2015-01-22,
2015-01-23,0.14428414
2015-01-24,0.14790745
2015-01-25,
2015-01-26,0.17919926
2015-01-27,
2015-01-28,0.17848435
2015-01-29,0.18634553
2015-01-30,
2015-01-31,0.26383317
2015-02-01,
2015-02-02,0.14507419
2015-02-03,0.163403
2015-02-04,
2015-02-05,
2015-02-06,0.16219972
2015-02-07,
2015-02-08,0.17311889
2015-02-09,0.18076274
2015-02-10,
2015-02-11,0.16998053
2015-02-12,
2015-02-13,0.1739476
2015-02-14,0.16616735
2015-02-15,
2015-02-16,0.23229873
2015-02-17,
2015-02-18,
2015-02-19,0.2037885
2015-02-20,
2015-02-21,
2015-02-22,0.1851306
2015-02-23,
2015-02-24,0.16970694
2015-02-25,0.15106048
2015-02-26,
2015-02-27,0.19503665
2015-02-28,
2015-03-01,0.18275103
2015-03-02,0.15124007
